,a,b,c,cuoa,energy,abstrain,zstrain
0,3.895222266824,3.895222266824,16.275985422801,3.033761385928999,-16915.23800624,0.0,0.0
1,3.8952222694217,3.8952222694217,15.624946016416,2.813810125151999,-16915.09515082,0.0,-0.04
3,3.8952222694217,3.8952222694217,16.764264996783,3.189894992567,-16915.1364575,0.0,0.03
5,3.8952222694217,3.8952222694217,15.950465725035,2.9246745016630005,-16915.20680078,0.0,-0.02
7,4.0510311602265,4.0510311602265,16.275985433754,3.010123421964,-16914.60080044,0.04,0.0
8,3.8173178240692,3.8173178240692,16.275985433754,3.0446145373199993,-16915.07613843,-0.02,0.0
9,3.778365601343,3.778365601343,16.275985433754,3.0499679849630006,-16914.84876042,-0.03,0.0
10,4.0120789375003,4.0120789375003,16.275985433754,3.0160045750629987,-16914.86168548,0.03,0.0
11,3.8562700467954,3.8562700467954,16.275985433754,3.0386498597730007,-16915.20163544,-0.01,0.0
12,3.8952222694217,3.8952222694217,15.787705870726,2.871079266922001,-16915.1627932,0.0,-0.03
14,3.9731267148741,3.9731267148741,16.275985433754,3.0238023292089995,-16915.06066408,0.02,0.0
15,3.7394133787168,3.7394133787168,16.275985433754,3.0535443549199996,-16914.51417915,-0.04,0.0
16,3.8952222694217,3.8952222694217,16.113225579445,2.9819602230070004,-16915.23168412,0.0,-0.01
18,3.8952222694217,3.8952222694217,16.601505142474,3.1383693621049993,-16915.18915796,0.0,0.02
20,3.9341744921479,3.9341744921479,16.275985433754,3.0295340857250004,-16915.18790802,0.01,0.0
21,3.8952222694217,3.8952222694217,16.927024851093,3.239547829008,-16915.06741889,0.0,0.04
23,3.8952222694217,3.8952222694217,16.438745288064,3.085960670104999,-16915.22372251,0.0,0.01
25,3.9341744921479,3.9341744921479,15.624946016416,2.8059055974590006,-16915.08519249,0.01,-0.04
26,3.9731267148741,3.9731267148741,15.624946016416,2.7963275198149997,-16914.99402728,0.02,-0.04
27,4.0120789375003,4.0120789375003,15.624946016416,2.7856734711730002,-16914.82822403,0.03,-0.04
28,4.0510311602265,4.0510311602265,15.624946016416,2.7754383870379993,-16914.59673361,0.04,-0.04
29,3.8562700467954,3.8562700467954,15.624946016416,2.8198872830680006,-16915.01904058,-0.01,-0.04
30,3.778365601343,3.778365601343,15.624946016416,2.8232760780310002,-16914.57698784,-0.03,-0.04
32,3.7394133787168,3.7394133787168,15.624946016416,2.825709191042,-16914.19528308,-0.04,-0.04
33,3.8173178240692,3.8173178240692,15.624946016416,2.8230191227060004,-16914.84780678,-0.02,-0.04
41,4.0120789375003,4.0120789375003,16.764264996783,3.1751369291839993,-16914.69877125,0.03,0.03
42,3.778365601343,3.778365601343,16.764264996783,3.2033007756200007,-16914.83509113,-0.03,0.03
43,3.8562700467954,3.8562700467954,16.764264996783,3.190981039794,-16915.12800957,-0.01,0.03
44,3.7394133787168,3.7394133787168,16.764264996783,3.2054523467510005,-16914.52893178,-0.04,0.03
45,4.0510311602265,4.0510311602265,16.764264996783,3.1708530777479993,-16914.42123794,0.04,0.03
46,3.9341744921479,3.9341744921479,16.764264996783,3.1846023934899996,-16915.0642985,0.01,0.03
47,3.9731267148741,3.9731267148741,16.764264996783,3.176997098476999,-16914.91587505,0.02,0.03
48,3.8173178240692,3.8173178240692,16.764264996783,3.1994275111599997,-16915.03045462,-0.02,0.03
49,3.9341744921479,3.9341744921479,15.950465725035,2.9163929531580006,-16915.17587553,0.01,-0.02
50,3.778365601343,3.778365601343,15.950465725035,2.9364858729990004,-16914.7535781,-0.03,-0.02
51,3.7394133787168,3.7394133787168,15.950465725035,2.938526291181999,-16914.39722229,-0.04,-0.02
52,4.0120789375003,4.0120789375003,15.950465725035,2.900491473791,-16914.88130387,0.03,-0.02
53,3.9731267148741,3.9731267148741,15.950465725035,2.9085750961979997,-16915.06497698,0.02,-0.02
55,4.0510311602265,4.0510311602265,15.950465725035,2.891833367087001,-16914.63463645,0.04,-0.02
57,3.8173178240692,3.8173178240692,15.950465725035,2.9367485475820008,-16915.00309992,-0.02,-0.02
59,3.8562700467954,3.8562700467954,15.950465725035,2.932554535159001,-16915.15227426,-0.01,-0.02
65,4.0510311602265,4.0510311602265,15.787705870726,2.835993685777,-16914.62796102,0.04,-0.03
66,3.7394133787168,3.7394133787168,15.787705870726,2.8825040386669993,-16914.3093012,-0.04,-0.03
67,4.0120789375003,4.0120789375003,15.787705870726,2.8462650454940004,-16914.86473617,0.03,-0.03
68,3.8173178240692,3.8173178240692,15.787705870726,2.879272794562999,-16914.93587895,-0.02,-0.03
69,3.778365601343,3.778365601343,15.787705870726,2.8826144257969997,-16914.67695082,-0.03,-0.03
71,3.9731267148741,3.9731267148741,15.787705870726,2.8537773574830005,-16915.04061721,0.02,-0.03
73,3.9341744921479,3.9341744921479,15.787705870726,2.862266611436999,-16915.1421873,0.01,-0.03
75,3.8562700467954,3.8562700467954,15.787705870726,2.8774346552139995,-16915.09723739,-0.01,-0.03
80,3.778365601343,3.778365601343,16.113225579445,2.9956221703490016,-16914.81195298,-0.03,-0.01
81,4.0510311602265,4.0510311602265,16.113225579445,2.9489011852600004,-16914.62765923,0.04,-0.01
82,3.7394133787168,3.7394133787168,16.113225579445,2.992817958641,-16914.46577524,-0.04,-0.01
83,3.9341744921479,3.9341744921479,16.113225579445,2.973863106193999,-16915.18965757,0.01,-0.01
85,3.8562700467954,3.8562700467954,16.113225579445,2.991204691904999,-16915.18749553,-0.01,-0.01
86,3.9731267148741,3.9731267148741,16.113225579445,2.964294354024,-16915.0724342,0.02,-0.01
89,3.8173178240692,3.8173178240692,16.113225579445,2.991547450244001,-16915.05008878,-0.02,-0.01
92,4.0120789375003,4.0120789375003,16.113225579445,2.9572257881960002,-16914.88042445,0.03,-0.01
96,3.8562700467954,3.8562700467954,16.601505142474,3.1409539331030008,-16915.17213699,-0.01,0.02
97,3.7394133787168,3.7394133787168,16.601505142474,3.1534482903020002,-16914.54476173,-0.04,0.02
98,4.0510311602265,4.0510311602265,16.601505142474,3.116242302267999,-16914.49692748,0.04,0.02
99,3.778365601343,3.778365601343,16.601505142474,3.154923825869,-16914.85931081,-0.03,0.02
100,3.9731267148741,3.9731267148741,16.601505142474,3.124465630622,-16914.98116624,0.02,0.02
101,3.8173178240692,3.8173178240692,16.601505142474,3.147898233935999,-16915.06540479,-0.02,0.02
102,4.0120789375003,4.0120789375003,16.601505142474,3.120088765378,-16914.77002533,0.03,0.02
103,3.9341744921479,3.9341744921479,16.601505142474,3.1316230676100005,-16915.12203407,0.01,0.02
104,4.0510311602265,4.0510311602265,16.927024851093,3.221454257544,-16914.32982618,0.04,0.04
105,4.0120789375003,4.0120789375003,16.927024851093,3.2268760298090005,-16914.61173732,0.03,0.04
106,3.9341744921479,3.9341744921479,16.927024851093,3.2314634999010003,-16914.98784985,0.01,0.04
107,3.778365601343,3.778365601343,16.927024851093,3.2509096606399996,-16914.7894565,-0.03,0.04
108,3.9731267148741,3.9731267148741,16.927024851093,3.230388199226999,-16914.8338474,0.02,0.04
109,3.7394133787168,3.7394133787168,16.927024851093,3.2546456308089997,-16914.49442092,-0.04,0.04
110,3.8173178240692,3.8173178240692,16.927024851093,3.244545477979999,-16914.97689843,-0.02,0.04
111,3.8562700467954,3.8562700467954,16.927024851093,3.2422242198659994,-16915.06566891,-0.01,0.04
112,3.778365601343,3.778365601343,16.438745288064,3.0982552855010006,-16914.86435052,-0.03,0.01
113,3.8562700467954,3.8562700467954,16.438745288064,3.0894890071029995,-16915.19826288,-0.01,0.01
114,3.9731267148741,3.9731267148741,16.438745288064,3.068194027299999,-16915.03115638,0.02,0.01
115,4.0510311602265,4.0510311602265,16.438745288064,3.0588331492290006,-16914.5589366,0.04,0.01
116,3.8173178240692,3.8173178240692,16.438745288064,3.0988052420520003,-16915.08138515,-0.02,0.01
117,3.9341744921479,3.9341744921479,16.438745288064,3.075701092099001,-16915.16557118,0.01,0.01
118,3.7394133787168,3.7394133787168,16.438745288064,3.099438137832001,-16914.53916526,-0.04,0.01
119,4.0120789375003,4.0120789375003,16.438745288064,3.0637361791029996,-16914.82589338,0.03,0.01
